"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","49","meiziku","test_accesskey","","","","删除appkey-传入参数id,参数值正确","传入参数id,参数值正确"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","60","meiziku","test_selfvideo","","","","通过影片id删除影片-传入不存在的影片id","传入不存在的影片id"
"passed","Tue Aug 17 09:41:09 CST 2021","Tue Aug 17 09:41:09 CST 2021","33","meiziku","test_selfvideo","","","","编辑影片详情-编辑片名","传入参数id,videoname"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:08 CST 2021","68","meiziku","test_selfvideo","","","","编辑影片详情-修改描述","传入参数id,description,参数值正确"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","70","meiziku","test_selfvideo","","","","编辑影片详情-编辑评分","传入参数id,score"
"skipped","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","63","meiziku","test_selfvideo","","","","编辑影片详情-id不存在","传入参数id,id不存在"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","74","meiziku","test_fourkgarden","","","","4k花园同步记录-传入参数page,size、page的内容为1,size的内容为空","传入参数page,size"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","32","meiziku","test_selfvideo","","","","通过影片id删除影片切片-传入存在的影片id","传入存在的影片id"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","68","meiziku","test_selfvideo","","","","通过影片id删除影片-传入正确的影片id","传入正确的影片id"
"skipped","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","42","login","test_login","","","","登录接口--不传用户名","不传用户名"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","32","meiziku","test_fourkgarden","","","","4k花园同步记录-传入参数page,size、page的内容为空,size的内容为20","传入参数page,size"
"passed","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","148","meiziku","test_fourkgarden","","","","4k花园同步记录-传入参数page,size、参数值正确","传入参数page,size"
"skipped","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","35","meiziku","test_selfvideo","","","","编辑影片详情-传入参数id,参数值为空","传入参数id,参数值为空"
